,Brand,Year,Model,Car/Suv,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,Location,CylindersinEngine,BodyType,Doors,Seats,Price
1477,Honda,2016,Jazz,Hatchback,2016 Honda Jazz VTI-S,USED,Automatic,1.5,Front,Unleaded,5.8,53148,Silver / -,"Liverpool, NSW",4,Hatchback,5,5,22990
1478,Subaru,2018,Outback,SUV,2018 Subaru Outback 3.6R,USED,Automatic,3.6,AWD,Unleaded,9.9,101097,Red / -,"Campbelltown, NSW",6,SUV,4,5,31990
1479,Lexus,2013,RX450H,SUV,2013 Lexus RX450H Luxury,USED,Automatic,3.5,4WD,Premium,6.4,86819,White / -,"Croydon, NSW",6,SUV,4,5,38999
1480,Toyota,2018,Corolla,Hatchback,2018 Toyota Corolla ZR (hybrid),USED,Automatic,1.8,Front,Hybrid,4.2,45591,White / Black Leather,"Lilydale, VIC",4,Hatchback,5,5,37999
1481,Nissan,2023,Qashqai,Suttons Nissan Arncliffe- New/Demo,2023 Nissan Qashqai ST-L 2-Tone,DEMO,Automatic,1.3,Front,Premium,6.1,560,White / Blue/Black,"Arncliffe, NSW",4,SUV,4,5,44888
1482,Hyundai,2019,Imax,Wagon,2019 Hyundai Imax Active,USED,Automatic,2.5,Rear,Diesel,8.8,165800,White / -,"Enfield, SA",4,Wagon,4,8,33990
1483,BMW,2012,118I,Hatchback,2012 BMW 118I Urban,USED,Automatic,1.6,Rear,Premium,5.8,49427,White / -,"Rozelle, NSW",4,Hatchback,5,5,19800
1484,Holden,2014,Colorado,SUV,2014 Holden Colorado 7 LTZ (4X4),USED,Automatic,2.8,4WD,Diesel,9.4,156597,Blue / -,"Minchinbury, NSW",4,SUV,4,7,25995
1485,Hyundai,2015,Veloster,Hatchback,2015 Hyundai Veloster +,USED,Automatic,1.6,Front,Unleaded,6.4,47685,White / -,"Alexandria, NSW",4,Hatchback,3,4,22990
1486,Honda,2014,CR-V,SUV,2014 Honda CR-V DTI-S (4X4),USED,Automatic,2.2,4WD,Diesel,6.7,61183,Grey / Black,"Brookvale, NSW",4,SUV,4,5,21999
1487,Toyota,2021,RAV4,SUV,2021 Toyota RAV4 Cruiser (awd) Hybrid,USED,Automatic,2.5,AWD,Hybrid,4.8,34221,White / Black,"Castle Hill, NSW",4,SUV,5,5,64990
